year,percentage
1984,75.773824
1985,77.685163
1986,75.09542
1987,75.983304
1988,74.158228
1989,75.001973
1990,74.423927
1991,74.508406
1992,74.813291
1993,73.240111
1994,71.334272
1995,68.587543
1996,68.969541
1997,68.012098
1998,63.410077
1999,64.08043
2000,61.781585
2001,61.500729
2002,60.676985
2003,58.290215
2004,57.011793
2005,55.818438
2006,55.253018
2007,54.643265
2008,54.060729
2009,54.896332
2010,54.158349
2011,53.227551
2012,54.983266
2013,51.171776
2014,49.599905
2015,49.6161
2016,47.185423
2017,45.057436
2018,44.767897
2019,41.969183
2020,41.241418
